FeldShort,Ausbildungsfeld,Canton,Ausbildungstyp,Geschlecht_Total,Geschlecht_Vollschulisch,Geschlecht_Dual,Mann_Total,Mann_Vollschulisch,Mann_Dual,Frau_Total,Frau_Vollschulisch,Frau_Dual
Architektur,Architektur und Städteplanung,AR,abt-total,8,0,8,5,0,5,3,0,3
Architektur,Architektur und Städteplanung,AR,EFZ,8,0,8,5,0,5,3,0,3
Architektur,Architektur und Städteplanung,AR,EBA,0,0,0,0,0,0,0,0,0
Architektur,Architektur und Städteplanung,AR,nReglementiert,0,0,0,0,0,0,0,0,0
Architektur,Architektur und Städteplanung,AI,abt-total,3,0,3,2,0,2,1,0,1
Architektur,Architektur und Städteplanung,AI,EFZ,3,0,3,2,0,2,1,0,1
Architektur,Architektur und Städteplanung,AI,EBA,0,0,0,0,0,0,0,0,0
Architektur,Architektur und Städteplanung,AI,nReglementiert,0,0,0,0,0,0,0,0,0
Architektur,Architektur und Städteplanung,SG,abt-total,122,0,122,81,0,81,41,0,41
Architektur,Architektur und Städteplanung,SG,EFZ,122,0,122,81,0,81,41,0,41
Architektur,Architektur und Städteplanung,SG,EBA,0,0,0,0,0,0,0,0,0
Architektur,Architektur und Städteplanung,SG,nReglementiert,0,0,0,0,0,0,0,0,0
Architektur,Architektur und Städteplanung,GR,abt-total,57,0,57,40,0,40,17,0,17
Architektur,Architektur und Städteplanung,GR,EFZ,57,0,57,40,0,40,17,0,17
Architektur,Architektur und Städteplanung,GR,EBA,0,0,0,0,0,0,0,0,0
Architektur,Architektur und Städteplanung,GR,nReglementiert,0,0,0,0,0,0,0,0,0
Architektur,Architektur und Städteplanung,AG,abt-total,121,0,121,82,0,82,39,0,39
Architektur,Architektur und Städteplanung,AG,EFZ,121,0,121,82,0,82,39,0,39
Architektur,Architektur und Städteplanung,AG,EBA,0,0,0,0,0,0,0,0,0
Architektur,Architektur und Städteplanung,AG,nReglementiert,0,0,0,0,0,0,0,0,0
Architektur,Architektur und Städteplanung,TG,abt-total,51,0,51,38,0,38,13,0,13
Architektur,Architektur und Städteplanung,TG,EFZ,51,0,51,38,0,38,13,0,13
Architektur,Architektur und Städteplanung,TG,EBA,0,0,0,0,0,0,0,0,0
Architektur,Architektur und Städteplanung,TG,nReglementiert,0,0,0,0,0,0,0,0,0
Architektur,Architektur und Städteplanung,TI,abt-total,116,38,78,86,26,60,30,12,18
Architektur,Architektur und Städteplanung,TI,EFZ,116,38,78,86,26,60,30,12,18
Architektur,Architektur und Städteplanung,TI,EBA,0,0,0,0,0,0,0,0,0
Architektur,Architektur und Städteplanung,TI,nReglementiert,0,0,0,0,0,0,0,0,0
Architektur,Architektur und Städteplanung,VD,abt-total,152,0,152,110,0,110,42,0,42
Architektur,Architektur und Städteplanung,VD,EFZ,152,0,152,110,0,110,42,0,42
Architektur,Architektur und Städteplanung,VD,EBA,0,0,0,0,0,0,0,0,0
Architektur,Architektur und Städteplanung,VD,nReglementiert,0,0,0,0,0,0,0,0,0
Architektur,Architektur und Städteplanung,VS,abt-total,106,0,106,81,0,81,25,0,25
Architektur,Architektur und Städteplanung,VS,EFZ,106,0,106,81,0,81,25,0,25
Architektur,Architektur und Städteplanung,VS,EBA,0,0,0,0,0,0,0,0,0
Architektur,Architektur und Städteplanung,VS,nReglementiert,0,0,0,0,0,0,0,0,0
Architektur,Architektur und Städteplanung,NE,abt-total,33,0,33,25,0,25,8,0,8
Architektur,Architektur und Städteplanung,NE,EFZ,33,0,33,25,0,25,8,0,8
Architektur,Architektur und Städteplanung,NE,EBA,0,0,0,0,0,0,0,0,0
Architektur,Architektur und Städteplanung,NE,nReglementiert,0,0,0,0,0,0,0,0,0
Architektur,Architektur und Städteplanung,GE,abt-total,116,80,36,90,61,29,26,19,7
Architektur,Architektur und Städteplanung,GE,EFZ,116,80,36,90,61,29,26,19,7
Architektur,Architektur und Städteplanung,GE,EBA,0,0,0,0,0,0,0,0,0
Architektur,Architektur und Städteplanung,GE,nReglementiert,0,0,0,0,0,0,0,0,0
Architektur,Architektur und Städteplanung,JU,abt-total,19,0,19,14,0,14,5,0,5
Architektur,Architektur und Städteplanung,JU,EFZ,19,0,19,14,0,14,5,0,5
Architektur,Architektur und Städteplanung,JU,EBA,0,0,0,0,0,0,0,0,0
Architektur,Architektur und Städteplanung,JU,nReglementiert,0,0,0,0,0,0,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",,abt-total,6137,30,6107,5698,29,5669,439,1,438
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",,EFZ,5878,29,5849,5440,28,5412,438,1,437
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",,EBA,259,1,258,258,1,257,1,0,1
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",,nReglementiert,0,0,0,0,0,0,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",ZH,abt-total,803,0,803,713,0,713,90,0,90
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",ZH,EFZ,771,0,771,681,0,681,90,0,90
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",ZH,EBA,32,0,32,32,0,32,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",ZH,nReglementiert,0,0,0,0,0,0,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",BE,abt-total,903,14,889,828,13,815,75,1,74
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",BE,EFZ,861,14,847,787,13,774,74,1,73
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",BE,EBA,42,0,42,41,0,41,1,0,1
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",BE,nReglementiert,0,0,0,0,0,0,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",LU,abt-total,365,0,365,335,0,335,30,0,30
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",LU,EFZ,353,0,353,323,0,323,30,0,30
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",LU,EBA,12,0,12,12,0,12,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",LU,nReglementiert,0,0,0,0,0,0,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",UR,abt-total,55,0,55,48,0,48,7,0,7
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",UR,EFZ,53,0,53,46,0,46,7,0,7
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",UR,EBA,2,0,2,2,0,2,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",UR,nReglementiert,0,0,0,0,0,0,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",SZ,abt-total,156,0,156,146,0,146,10,0,10
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",SZ,EFZ,152,0,152,142,0,142,10,0,10
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",SZ,EBA,4,0,4,4,0,4,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",SZ,nReglementiert,0,0,0,0,0,0,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",OW,abt-total,40,0,40,38,0,38,2,0,2
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",OW,EFZ,39,0,39,37,0,37,2,0,2
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",OW,EBA,1,0,1,1,0,1,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",OW,nReglementiert,0,0,0,0,0,0,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",NW,abt-total,39,0,39,35,0,35,4,0,4
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",NW,EFZ,39,0,39,35,0,35,4,0,4
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",NW,EBA,0,0,0,0,0,0,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",NW,nReglementiert,0,0,0,0,0,0,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",GL,abt-total,54,0,54,53,0,53,1,0,1
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",GL,EFZ,52,0,52,51,0,51,1,0,1
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",GL,EBA,2,0,2,2,0,2,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",GL,nReglementiert,0,0,0,0,0,0,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",ZG,abt-total,93,0,93,86,0,86,7,0,7
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",ZG,EFZ,88,0,88,81,0,81,7,0,7
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",ZG,EBA,5,0,5,5,0,5,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",ZG,nReglementiert,0,0,0,0,0,0,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",FR,abt-total,246,0,246,236,0,236,10,0,10
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",FR,EFZ,237,0,237,227,0,227,10,0,10
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",FR,EBA,9,0,9,9,0,9,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",FR,nReglementiert,0,0,0,0,0,0,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",SO,abt-total,176,0,176,163,0,163,13,0,13
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",SO,EFZ,164,0,164,151,0,151,13,0,13
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",SO,EBA,12,0,12,12,0,12,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",SO,nReglementiert,0,0,0,0,0,0,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",BS,abt-total,108,0,108,93,0,93,15,0,15
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",BS,EFZ,101,0,101,86,0,86,15,0,15
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",BS,EBA,7,0,7,7,0,7,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",BS,nReglementiert,0,0,0,0,0,0,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",BL,abt-total,224,0,224,219,0,219,5,0,5
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",BL,EFZ,211,0,211,206,0,206,5,0,5
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",BL,EBA,13,0,13,13,0,13,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",Bl,nReglementiert,0,0,0,0,0,0,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",SH,abt-total,79,0,79,70,0,70,9,0,9
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",SH,EFZ,69,0,69,60,0,60,9,0,9
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",SH,EBA,10,0,10,10,0,10,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",SH,nReglementiert,0,0,0,0,0,0,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",AR,abt-total,43,0,43,40,0,40,3,0,3
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",AR,EFZ,42,0,42,39,0,39,3,0,3
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",AR,EBA,1,0,1,1,0,1,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",AR,nReglementiert,0,0,0,0,0,0,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",AI,abt-total,22,0,22,22,0,22,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",AI,EFZ,22,0,22,22,0,22,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",AI,EBA,0,0,0,0,0,0,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",AI,nReglementiert,0,0,0,0,0,0,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",SG,abt-total,544,0,544,496,0,496,48,0,48
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",SG,EFZ,520,0,520,472,0,472,48,0,48
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",SG,EBA,24,0,24,24,0,24,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",SG,nReglementiert,0,0,0,0,0,0,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",GR,abt-total,196,0,196,175,0,175,21,0,21
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",GR,EFZ,188,0,188,167,0,167,21,0,21
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",GR,EBA,8,0,8,8,0,8,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",GR,nReglementiert,0,0,0,0,0,0,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",AG,abt-total,451,0,451,414,0,414,37,0,37
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",AG,EFZ,433,0,433,396,0,396,37,0,37
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",AG,EBA,18,0,18,18,0,18,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",AG,nReglementiert,0,0,0,0,0,0,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",TG,abt-total,234,0,234,217,0,217,17,0,17
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",TG,EFZ,224,0,224,207,0,207,17,0,17
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",TG,EBA,10,0,10,10,0,10,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",TG,nReglementiert,0,0,0,0,0,0,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",TI,abt-total,272,1,271,269,1,268,3,0,3
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",TI,EFZ,265,0,265,262,0,262,3,0,3
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",TI,EBA,7,1,6,7,1,6,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",TI,nReglementiert,0,0,0,0,0,0,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",VD,abt-total,387,0,387,375,0,375,12,0,12
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",VD,EFZ,372,0,372,360,0,360,12,0,12
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",VD,EBA,15,0,15,15,0,15,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",VD,nReglementiert,0,0,0,0,0,0,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",VS,abt-total,291,0,291,283,0,283,8,0,8
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",VS,EFZ,274,0,274,266,0,266,8,0,8
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",VS,EBA,17,0,17,17,0,17,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",VS,nReglementiert,0,0,0,0,0,0,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",NE,abt-total,104,0,104,96,0,96,8,0,8
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",NE,EFZ,104,0,104,96,0,96,8,0,8
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",NE,EBA,0,0,0,0,0,0,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",NE,nReglementiert,0,0,0,0,0,0,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",GE,abt-total,197,15,182,195,15,180,2,0,2
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",GE,EFZ,189,15,174,187,15,172,2,0,2
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",GE,EBA,8,0,8,8,0,8,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",GE,nReglementiert,0,0,0,0,0,0,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",JU,abt-total,55,0,55,53,0,53,2,0,2
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",JU,EFZ,55,0,55,53,0,53,2,0,2
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",JU,EBA,0,0,0,0,0,0,0,0,0
Baugewerbe,"Baugewerbe, Hoch- und Tiefbau",JU,nReglementiert,0,0,0,0,0,0,0,0,0
Pflanzen,Pflanzenbau und Tierzucht,,abt-total,1810,0,1810,1378,0,1378,432,0,432
Pflanzen,Pflanzenbau und Tierzucht,,EFZ,1624,0,1624,1249,0,1249,375,0,375
Pflanzen,Pflanzenbau und Tierzucht,,EBA,186,0,186,129,0,129,57,0,57
Pflanzen,Pflanzenbau und Tierzucht,,nReglementiert,0,0,0,0,0,0,0,0,0
Pflanzen,Pflanzenbau und Tierzucht,ZH,abt-total,140,0,140,78,0,78,62,0,62
Pflanzen,Pflanzenbau und Tierzucht,ZH,EFZ,123,0,123,69,0,69,54,0,54
Pflanzen,Pflanzenbau und Tierzucht,ZH,EBA,17,0,17,9,0,9,8,0,8
Pflanzen,Pflanzenbau und Tierzucht,ZH,nReglementiert,0,0,0,0,0,0,0,0,0
Pflanzen,Pflanzenbau und Tierzucht,BE,abt-total,334,0,334,259,0,259,75,0,75
Pflanzen,Pflanzenbau und Tierzucht,BE,EFZ,285,0,285,222,0,222,63,0,63
Pflanzen,Pflanzenbau und Tierzucht,BE,EBA,49,0,49,37,0,37,12,0,12
Pflanzen,Pflanzenbau und Tierzucht,BE,nReglementiert,0,0,0,0,0,0,0,0,0
Pflanzen,Pflanzenbau und Tierzucht,LU,abt-total,136,0,136,113,0,113,23,0,23
Pflanzen,Pflanzenbau und Tierzucht,LU,EFZ,115,0,115,99,0,99,16,0,16
Pflanzen,Pflanzenbau und Tierzucht,LU,EBA,21,0,21,14,0,14,7,0,7
Pflanzen,Pflanzenbau und Tierzucht,LU,nReglementiert,0,0,0,0,0,0,0,0,0
Pflanzen,Pflanzenbau und Tierzucht,UR,abt-total,19,0,19,13,0,13,6,0,6
Pflanzen,Pflanzenbau und Tierzucht,UR,EFZ,18,0,18,13,0,13,5,0,5
Pflanzen,Pflanzenbau und Tierzucht,UR,EBA,1,0,1,0,0,0,1,0,1
Pflanzen,Pflanzenbau und Tierzucht,UR,nReglementiert,0,0,0,0,0,0,0,0,0
Pflanzen,Pflanzenbau und Tierzucht,SZ,abt-total,60,0,60,57,0,57,3,0,3
Pflanzen,Pflanzenbau und Tierzucht,SZ,EFZ,57,0,57,55,0,55,2,0,2
Pflanzen,Pflanzenbau und Tierzucht,SZ,EBA,3,0,3,2,0,2,1,0,1
Pflanzen,Pflanzenbau und Tierzucht,SZ,nReglementiert,0,0,0,0,0,0,0,0,0
Pflanzen,Pflanzenbau und Tierzucht,OW,abt-total,20,0,20,16,0,16,4,0,4
Pflanzen,Pflanzenbau und Tierzucht,OW,EFZ,20,0,20,16,0,16,4,0,4
Pflanzen,Pflanzenbau und Tierzucht,OW,EBA,0,0,0,0,0,0,0,0,0
Pflanzen,Pflanzenbau und Tierzucht,OW,nReglementiert,0,0,0,0,0,0,0,0,0
Pflanzen,Pflanzenbau und Tierzucht,NW,abt-total,17,0,17,14,0,14,3,0,3
Pflanzen,Pflanzenbau und Tierzucht,NW,EFZ,17,0,17,14,0,14,3,0,3
Pflanzen,Pflanzenbau und Tierzucht,NW,EBA,0,0,0,0,0,0,0,0,0
Pflanzen,Pflanzenbau und Tierzucht,NW,nReglementiert,0,0,0,0,0,0,0,0,0
Pflanzen,Pflanzenbau und Tierzucht,GL,abt-total,0,0,0,0,0,0,0,0,0
Pflanzen,Pflanzenbau und Tierzucht,GL,EFZ,0,0,0,0,0,0,0,0,0
Pflanzen,Pflanzenbau und Tierzucht,GL,EBA,0,0,0,0,0,0,0,0,0
Pflanzen,Pflanzenbau und Tierzucht,GL,nReglementiert,0,0,0,0,0,0,0,0,0
Pflanzen,Pflanzenbau und Tierzucht,ZG,abt-total,39,0,39,33,0,33,6,0,6
Pflanzen,Pflanzenbau und Tierzucht,ZG,EFZ,36,0,36,31,0,31,5,0,5
Pflanzen,Pflanzenbau und Tierzucht,ZG,EBA,3,0,3,2,0,2,1,0,1
Pflanzen,Pflanzenbau und Tierzucht,ZG,nReglementiert,0,0,0,0,0,0,0,0,0
Pflanzen,Pflanzenbau und Tierzucht,FR,abt-total,130,0,130,105,0,105,25,0,25
Pflanzen,Pflanzenbau und Tierzucht,FR,EFZ,123,0,123,100,0,100,23,0,23
Pflanzen,Pflanzenbau und Tierzucht,FR,EBA,7,0,7,5,0,5,2,0,2
Pflanzen,Pflanzenbau und Tierzucht,FR,nReglementiert,0,0,0,0,0,0,0,0,0
Pflanzen,Pflanzenbau und Tierzucht,SO,abt-total,35,0,35,24,0,24,11,0,11
Pflanzen,Pflanzenbau und Tierzucht,SO,EFZ,32,0,32,23,0,23,9,0,9
Pflanzen,Pflanzenbau und Tierzucht,SO,EBA,3,0,3,1,0,1,2,0,2
Pflanzen,Pflanzenbau und Tierzucht,SO,nReglementiert,0,0,0,0,0,0,0,0,0
Pflanzen,Pflanzenbau und Tierzucht,BS,abt-total,10,0,10,6,0,6,4,0,4
Pflanzen,Pflanzenbau und Tierzucht,BS,EFZ,10,0,10,6,0,6,4,0,4
Pflanzen,Pflanzenbau und Tierzucht,BS,EBA,0,0,0,0,0,0,0,0,0
Pflanzen,Pflanzenbau und Tierzucht,BS,nReglementiert,0,0,0,0,0,0,0,0,0
Pflanzen,Pflanzenbau und Tierzucht,BL,abt-total,65,0,65,50,0,50,15,0,15
Pflanzen,Pflanzenbau und Tierzucht,BL,EFZ,58,0,58,44,0,44,14,0,14
Pflanzen,Pflanzenbau und Tierzucht,BL,EBA,7,0,7,6,0,6,1,0,1
Pflanzen,Pflanzenbau und Tierzucht,Bl,nReglementiert,0,0,0,0,0,0,0,0,0
Pflanzen,Pflanzenbau und Tierzucht,SH,abt-total,22,0,22,19,0,19,3,0,3
Pflanzen,Pflanzenbau und Tierzucht,SH,EFZ,20,0,20,17,0,17,3,0,3
Pflanzen,Pflanzenbau und Tierzucht,SH,EBA,2,0,2,2,0,2,0,0,0
Pflanzen,Pflanzenbau und Tierzucht,SH,nReglementiert,0,0,0,0,0,0,0,0,0
Pflanzen,Pflanzenbau und Tierzucht,AR,abt-total,8,0,8,7,0,7,1,0,1
Pflanzen,Pflanzenbau und Tierzucht,AR,EFZ,7,0,7,6,0,6,1,0,1
Pflanzen,Pflanzenbau und Tierzucht,AR,EBA,1,0,1,1,0,1,0,0,0
Pflanzen,Pflanzenbau und Tierzucht,AR,nReglementiert,0,0,0,0,0,0,0,0,0
Pflanzen,Pflanzenbau und Tierzucht,AI,abt-total,1,0,1,0,0,0,1,0,1
Pflanzen,Pflanzenbau und Tierzucht,AI,EFZ,1,0,1,0,0,0,1,0,1
Pflanzen,Pflanzenbau und Tierzucht,AI,EBA,0,0,0,0,0,0,0,0,0
Pflanzen,Pflanzenbau und Tierzucht,AI,nReglementiert,0,0,0,0,0,0,0,0,0
Pflanzen,Pflanzenbau und Tierzucht,SG,abt-total,107,0,107,82,0,82,25,0,25
Pflanzen,Pflanzenbau und Tierzucht,SG,EFZ,98,0,98,75,0,75,23,0,23
Pflanzen,Pflanzenbau und Tierzucht,SG,EBA,9,0,9,7,0,7,2,0,2
Pflanzen,Pflanzenbau und Tierzucht,SG,nReglementiert,0,0,0,0,0,0,0,0,0
Pflanzen,Pflanzenbau und Tierzucht,GR,abt-total,87,0,87,68,0,68,19,0,19
Pflanzen,Pflanzenbau und Tierzucht,GR,EFZ,78,0,78,60,0,60,18,0,18
Pflanzen,Pflanzenbau und Tierzucht,GR,EBA,9,0,9,8,0,8,1,0,1
Pflanzen,Pflanzenbau und Tierzucht,GR,nReglementiert,0,0,0,0,0,0,0,0,0
Pflanzen,Pflanzenbau und Tierzucht,AG,abt-total,143,0,143,105,0,105,38,0,38
Pflanzen,Pflanzenbau und Tierzucht,AG,EFZ,130,0,130,100,0,100,30,0,30
Pflanzen,Pflanzenbau und Tierzucht,AG,EBA,13,0,13,5,0,5,8,0,8
Pflanzen,Pflanzenbau und Tierzucht,AG,nReglementiert,0,0,0,0,0,0,0,0,0
Pflanzen,Pflanzenbau und Tierzucht,TG,abt-total,91,0,91,74,0,74,17,0,17
Pflanzen,Pflanzenbau und Tierzucht,TG,EFZ,77,0,77,64,0,64,13,0,13
Pflanzen,Pflanzenbau und Tierzucht,TG,EBA,14,0,14,10,0,10,4,0,4
Pflanzen,Pflanzenbau und Tierzucht,TG,nReglementiert,0,0,0,0,0,0,0,0,0
Pflanzen,Pflanzenbau und Tierzucht,TI,abt-total,37,0,37,28,0,28,9,0,9
Pflanzen,Pflanzenbau und Tierzucht,TI,EFZ,30,0,30,25,0,25,5,0,5
Pflanzen,Pflanzenbau und Tierzucht,TI,EBA,7,0,7,3,0,3,4,0,4
Pflanzen,Pflanzenbau und Tierzucht,TI,nReglementiert,0,0,0,0,0,0,0,0,0
Pflanzen,Pflanzenbau und Tierzucht,VD,abt-total,140,0,140,101,0,101,39,0,39
Pflanzen,Pflanzenbau und Tierzucht,VD,EFZ,131,0,131,92,0,92,39,0,39
Pflanzen,Pflanzenbau und Tierzucht,VD,EBA,9,0,9,9,0,9,0,0,0
Pflanzen,Pflanzenbau und Tierzucht,VD,nReglementiert,0,0,0,0,0,0,0,0,0
Pflanzen,Pflanzenbau und Tierzucht,VS,abt-total,43,0,43,32,0,32,11,0,11
Pflanzen,Pflanzenbau und Tierzucht,VS,EFZ,41,0,41,30,0,30,11,0,11
Pflanzen,Pflanzenbau und Tierzucht,VS,EBA,2,0,2,2,0,2,0,0,0
Pflanzen,Pflanzenbau und Tierzucht,VS,nReglementiert,0,0,0,0,0,0,0,0,0
Pflanzen,Pflanzenbau und Tierzucht,NE,abt-total,61,0,61,46,0,46,15,0,15
Pflanzen,Pflanzenbau und Tierzucht,NE,EFZ,56,0,56,43,0,43,13,0,13
Pflanzen,Pflanzenbau und Tierzucht,NE,EBA,5,0,5,3,0,3,2,0,2
Pflanzen,Pflanzenbau und Tierzucht,NE,nReglementiert,0,0,0,0,0,0,0,0,0
Pflanzen,Pflanzenbau und Tierzucht,GE,abt-total,22,0,22,12,0,12,10,0,10
Pflanzen,Pflanzenbau und Tierzucht,GE,EFZ,21,0,21,12,0,12,9,0,9
Pflanzen,Pflanzenbau und Tierzucht,GE,EBA,1,0,1,0,0,0,1,0,1
Pflanzen,Pflanzenbau und Tierzucht,GE,nReglementiert,0,0,0,0,0,0,0,0,0
Pflanzen,Pflanzenbau und Tierzucht,JU,abt-total,43,0,43,36,0,36,7,0,7
Pflanzen,Pflanzenbau und Tierzucht,JU,EFZ,40,0,40,33,0,33,7,0,7
Pflanzen,Pflanzenbau und Tierzucht,JU,EBA,3,0,3,3,0,3,0,0,0
Pflanzen,Pflanzenbau und Tierzucht,JU,nReglementiert,0,0,0,0,0,0,0,0,0
Gartenbau,Gartenbau,,abt-total,1511,131,1380,1201,88,1113,310,43,267
Gartenbau,Gartenbau,,EFZ,1208,107,1101,933,74,859,275,33,242
Gartenbau,Gartenbau,,EBA,303,24,279,268,14,254,35,10,25
Gartenbau,Gartenbau,,nReglementiert,0,0,0,0,0,0,0,0,0
Gartenbau,Gartenbau,ZH,abt-total,190,2,188,163,2,161,27,0,27
Gartenbau,Gartenbau,ZH,EFZ,148,1,147,123,1,122,25,0,25
Gartenbau,Gartenbau,ZH,EBA,42,1,41,40,1,39,2,0,2
Gartenbau,Gartenbau,ZH,nReglementiert,0,0,0,0,0,0,0,0,0
Gartenbau,Gartenbau,BE,abt-total,263,45,218,191,20,171,72,25,47
